               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.037241,            0.038289,            0.017846,             0.68918,              0.7662,             0.81717,             0.48102,            0.036058,            0.032729,             0.01528,            0.006436,            0.006436,            0.006436
                 110,            0.041785,            0.037312,            0.015347,             0.74668,             0.75736,             0.84279,             0.53311,            0.033485,            0.032243,            0.015291,            0.006403,            0.006403,            0.006403
                 111,            0.039956,             0.04005,            0.016638,             0.66427,             0.85369,             0.87518,             0.53763,            0.031117,            0.031821,            0.015094,             0.00637,             0.00637,             0.00637
                 112,            0.037011,            0.037976,            0.015696,             0.66899,             0.86128,             0.87178,             0.54584,            0.032902,            0.031963,            0.014993,            0.006337,            0.006337,            0.006337
                 113,            0.038942,            0.037951,            0.015346,             0.66195,             0.86508,             0.87727,             0.46578,            0.036065,            0.032375,            0.014826,            0.006304,            0.006304,            0.006304
                 114,            0.044025,            0.042325,            0.017132,             0.64635,             0.90538,             0.88134,             0.51865,            0.033044,            0.031555,            0.014908,            0.006271,            0.006271,            0.006271
                 115,            0.041083,            0.035611,            0.017166,             0.63868,             0.90569,             0.88656,              0.5909,            0.031541,            0.031689,            0.014671,            0.006238,            0.006238,            0.006238
                 116,            0.037595,            0.045957,            0.016888,             0.66457,             0.90167,             0.88329,             0.47347,            0.037159,            0.032262,            0.014721,            0.006205,            0.006205,            0.006205
                 117,            0.041824,            0.039598,            0.015328,             0.65666,             0.89645,             0.86212,             0.48979,            0.036985,            0.032337,            0.014402,            0.006172,            0.006172,            0.006172
                 118,            0.042493,            0.041907,             0.01595,             0.68891,              0.9061,             0.88464,             0.52819,            0.033145,            0.031441,            0.014472,            0.006139,            0.006139,            0.006139
                 119,            0.044574,            0.048695,            0.014938,             0.70473,             0.85797,             0.89386,             0.50322,            0.034968,            0.031883,            0.014306,            0.006106,            0.006106,            0.006106
                 120,            0.040306,            0.039318,            0.017714,             0.74513,             0.84555,             0.87994,             0.46365,            0.036125,            0.031359,            0.014425,            0.006073,            0.006073,            0.006073
                 121,            0.041352,            0.039306,            0.017331,             0.85041,             0.79028,             0.88553,             0.58204,            0.030602,            0.031579,            0.014269,             0.00604,             0.00604,             0.00604
                 122,            0.038912,            0.038675,            0.016339,             0.76079,             0.85886,             0.89344,             0.61573,             0.02809,            0.030054,            0.014191,            0.006007,            0.006007,            0.006007
                 123,            0.036804,            0.034589,            0.014562,             0.73304,             0.86492,             0.88885,             0.51496,            0.034851,            0.031033,            0.013896,            0.005974,            0.005974,            0.005974
                 124,            0.039195,             0.04598,             0.01552,             0.78347,             0.87412,             0.90339,              0.5042,            0.036043,            0.031223,            0.013856,            0.005941,            0.005941,            0.005941
                 125,            0.044295,            0.041145,            0.015035,             0.89243,             0.81126,             0.89146,             0.52812,            0.033785,            0.031705,             0.01368,            0.005908,            0.005908,            0.005908
                 126,            0.039517,            0.040262,            0.013564,             0.89889,             0.81038,             0.88952,             0.61576,            0.028588,             0.03067,            0.013667,            0.005875,            0.005875,            0.005875
                 127,            0.034385,            0.042941,            0.015598,              0.7482,             0.87219,             0.89953,              0.5613,            0.031813,            0.030762,            0.013529,            0.005842,            0.005842,            0.005842
                 128,            0.039293,            0.044897,            0.015178,             0.83602,             0.84442,             0.89904,             0.52089,            0.034641,            0.030937,            0.013649,            0.005809,            0.005809,            0.005809
                 129,            0.039965,            0.040616,             0.01386,             0.87995,              0.8155,             0.89651,             0.60587,            0.030048,            0.030726,            0.013421,            0.005776,            0.005776,            0.005776
                 130,            0.035981,            0.035991,            0.013828,             0.88134,             0.84004,             0.89333,             0.56158,            0.032767,            0.030401,            0.013382,            0.005743,            0.005743,            0.005743
                 131,            0.039522,            0.044878,            0.015136,              0.8678,             0.84667,              0.9038,             0.59449,            0.030195,            0.030127,             0.01326,             0.00571,             0.00571,             0.00571
                 132,            0.034923,             0.04037,             0.01247,             0.88664,             0.84345,             0.90988,             0.57141,             0.03005,            0.029786,            0.013205,            0.005677,            0.005677,            0.005677
                 133,            0.035931,            0.041034,            0.014536,             0.88953,             0.82263,             0.90248,             0.58993,            0.030766,            0.030042,            0.012981,            0.005644,            0.005644,            0.005644
                 134,              0.0334,            0.036125,            0.013555,             0.90872,             0.82428,             0.91169,               0.544,            0.031929,            0.030191,            0.013119,            0.005611,            0.005611,            0.005611
                 135,             0.03737,            0.037655,             0.01482,             0.90712,             0.81896,             0.90525,             0.56454,            0.030723,            0.029436,            0.012755,            0.005578,            0.005578,            0.005578
                 136,            0.036297,            0.036536,            0.015615,             0.90575,             0.83529,              0.9184,             0.55875,             0.03026,            0.029909,            0.012785,            0.005545,            0.005545,            0.005545
